"Identifiant de la publication","Lien permanent","Message de publication",Type,Pays,Langues,Publié,"Ciblage d’audience","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
447103548968697_1365350913810618,https://www.facebook.com/refyld/posts/1365350913810618,"Interview - Journée Mondiale du Climat 🌍⁠⠀

À l’occasion de la journée mondiale du climat, qui a lieu le 8 décembre, Debora, co-fondatrice de Refyld, a répondu aux questions du média Oh! My Mag.",Video,,,"12/08/2020 12:07:52 AM"," ",966,966,0,1107,1107,0,72,56,103,0,0,513,430,0,0,51,27,27,0,0,348,406,0,0,14224,204330,27,4,7,28,4,8,,55,,7,,91,,12,,,,
447103548968697_1364922187186824,https://www.facebook.com/refyld/posts/1364922187186824,"LES NOUVEAUX RÉCITS ÉPISODE 11 - Initiation au Yoga du Visage ✨

L’inspirante Aurélia, aka Here Comes DelSol, nous partage ses conseils pour introduire le Yoga du Visage dans son quotidien et nous invite à partager une petite séance relaxante à pratiquer après une journée de boulot ou au matin pour réveiller son visage.
Vidéo à découvrir juste ici 👉https://www.instagram.com/tv/CIgVIGDirVv/",Photo,,,"12/07/2020 10:25:43 AM"," ",214,214,0,228,228,0,7,3,4,0,0,160,151,0,0,5,0,0,0,0,0,0,0,0,0,0,4,,,4,,,1,,3,,1,,3,,,,,
447103548968697_1364558630556513,https://www.facebook.com/refyld/posts/1364558630556513,"Sous votre sapin, il y a... L’adhésion à vie à Refyld commandée juste à temps avant la fin de la campagne Ulule !⁠ 🎄⁠
⁠
Il est encore temps de soutenir notre projet un peu fou de produits qui ne nuisent ni à notre santé, ni à la planète, ni à notre porte-monnaie. ⁠⁠
⁠
Après, il ne sera plus possible de bénéficier de notre adhésion à vie. C'est maintenant ou jamais.⁠⁠😱⁠
⁠
Rejoignez l'aventure, on vous embarque avec nous ⛵️ : https://fr.ulule.com/refyld/",Photo,,,"12/07/2020 01:35:20 AM"," ",356,356,0,380,380,0,15,10,12,0,0,250,232,0,0,13,0,0,0,0,0,0,0,0,0,0,5,3,,5,4,,,2,8,,,3,9,,,,,
447103548968697_1364218750590501,https://www.facebook.com/refyld/posts/1364218750590501,"2021, une année plus positive ? 🙏 
Nous, on veut y croire. ⁠Et pour ça, on veut prendre soin de vous et de vos intérieurs avec le lancement de Refyld. ⁠
⁠
Alors rejoignez-nous en prenant votre adhésion à vie juste à temps avant la fin de la campagne Ulule ! ⏰ ⁠ Elle ferme mardi à minuit. 🌙⁠
⁠
Il est encore temps de soutenir ce projet un peu fou de produits qui ne nuisent ni à notre santé, ni à la planète, ni à notre porte-monnaie. ⁠
⁠
Après, il ne sera plus possible de bénéficier de notre adhésion à vie. C'est maintenant ou jamais.⁠
⁠
Rejoignez l'aventure, on vous embarque avec nous ⁠❤️ ⁠
https://fr.ulule.com/refyld/ 🤩",Photo,,,"12/06/2020 02:00:38 PM"," ",460,460,0,487,487,0,17,8,8,0,0,368,344,0,0,14,0,0,0,0,0,0,0,0,0,0,10,2,,11,2,,1,5,2,,1,5,2,,,,,
447103548968697_1362271540785222,https://www.facebook.com/refyld/posts/1362271540785222,"L'adhésion à vie, c'est la chance de votre vie... Oui. Mais elle est bientôt finie 💔 ⁠
⁠
Après notre campagne Ulule (J-4), il ne sera plus possible de bénéficier de notre adhésion à vie. C'est maintenant ou jamais !⁠
⁠
Plus que quelques jours pour soutenir le projet, alors foncez sur Ulule 👉  https://fr.ulule.com/refyld/ 🚀",Video,,,"12/04/2020 06:09:00 AM"," ",476,476,0,585,585,0,23,15,18,0,0,207,163,0,0,15,103,109,0,0,149,162,0,0,4339,5567,8,4,1,9,4,1,,11,2,2,,14,2,2,,,,
447103548968697_1361520680860308,https://www.facebook.com/refyld/posts/1361520680860308,"On est à J-5 de la fin de notre campagne Ulule et on comptabilise déjà plus de 3600 adhésions à vie, des clients.es en or et des fournisseurs derrière nous, alors on veut y croire jusqu’au bout 💪 ⁠ ⁠
⁠
Plus cette campagne sera un succès, plus nous aurons d’arguments pour la suite afin de faire changer les choses. ✊ ⁠

ON COMPTE SUR VOUS PLUS QUE JAMAIS : https://fr.ulule.com/refyld/ 🙏",Photo,,,"12/03/2020 08:01:59 AM"," ",396,396,0,432,432,0,8,5,6,0,0,328,293,0,0,7,0,0,0,0,0,0,0,0,0,0,3,2,,3,2,,,1,5,,,1,5,,,,,
447103548968697_1360774290934947,https://www.facebook.com/refyld/posts/1360774290934947,"LES NOUVEAUX RÉCITS - Épisode 10 : https://bit.ly/3qlLMeb

🌱Le CBD pour une (re)connexion à soi 100% naturelle🌱

Aujourd'hui, on vous donne rendez-vous pour une interview en #live avec Léa, la co-fondatrice de la marque @equilibre_cbd. Elle  explique ce qu’est le CBD, quelles différences il y a entre CBD et THC, comment le CBD fonctionne sur notre corps et quels en sont les bienfaits, comment le consommer au quotidien... Bref Léa répond à toutes vos questions sur le CBD, pour enfin prendre soin de vous de façon 100% naturelle. ✨🌱  À voir juste ici : https://bit.ly/3qlLMeb

Merci beaucoup Equilibre 💛",,,,"12/02/2020 08:48:48 AM"," ",347,347,0,371,371,0,11,9,11,0,0,295,270,0,0,8,0,0,0,0,0,0,0,0,0,0,3,,1,3,,1,,4,6,,,5,6,,,,,
447103548968697_1360663904279319,https://www.facebook.com/refyld/posts/1360663904279319,"🚀 ON RECRUTE🚀 

Nous avons 3 postes ouverts pour le début d'année 2021 en #stages et #alternance : 
👉Développeur.se Lead Full Stack (alternance) pour nous aider dans notre développement
👉Bras droit fondateur (stage) pour accompagner Baptiste sur la production et les opérations
👉 Assistant.e Social Media &amp; Brand Content (stage) pour rejoindre la team de Debora 

Si vous êtes la perle rare ou si vous la connaissez, toutes nos offres sont sur How I Met Your Planet.

N'hésitez pas à partager ou identifier vos relations ! 🙌",Link,,,"12/02/2020 05:57:24 AM"," ",429,429,0,448,448,0,14,8,11,0,0,360,336,0,0,11,0,0,0,0,0,0,0,0,0,0,7,,,7,2,,,7,1,,,10,1,,,,,
447103548968697_1359978191014557,https://www.facebook.com/refyld/posts/1359978191014557,"Notre définition du « supermarché parfait » ?⁠
👉 Il ne contient que des produits bon pour la santé. ⁠
👉 Il ne continent que des produits bon pour la planète. ⁠
👉 Et tous ces produits ne coûtent pas un bras ! ⁠
⁠
Et bien avec Refyld c'est possible.⁠
⁠
Il ne vous reste plus qu'à adhérer des maintenant sur #Ulule pour prendre votre adhésion à vie. J-7 : https://fr.ulule.com/refyld/💫",Video,,,"12/01/2020 10:04:21 AM"," ",546,546,0,614,614,0,48,36,53,0,0,416,368,0,0,39,57,58,0,0,201,210,0,0,6227,16426,18,3,2,19,3,2,,29,3,8,,42,3,8,,,,
447103548968697_1358800047799038,https://www.facebook.com/refyld/posts/1358800047799038,"💫 J-9 avant la fin de notre campagne Ulule💫

Adhérez dès aujourd'hui sur Ulule pour avoir accès à notre site et à tous nos produits à prix coûtant dès début 2021. ⁠
⁠
Notre adhésion à VIE est disponible sur Ulule pendant encore 9 petits jours. Alors n'hésitez pas à nous soutenir sur Ulule car...⁠

💪 Vous soutenez un projet entrepreneurial à ses débuts⁠
🙌 Vous bénéficiez d'une offre exceptionnelle : une adhésion à VIE (uniquement dispo sur Ulule, après cette campagne seul d'abonnement annuel sera dispo) ⁠
🤝 Vous nous aidez à financer les premières production⁠
✌️Et vous pourrez dire à vos petits-enfants : &quot;j'ai contribué à faire changer les choses&quot; (On peut rêver, non ?🙊)⁠
⁠
✨ Alors pour prendre votre adhésion à vie, il suffit de cliquer sur le lien juste ici https://lnkd.in/dT6Wv9K ! ✨ ⁠
⁠
#refyld #moinsmaismieux #homesweethome #refyldisthenewrecycle
photo Victoire Duhot",Photo,,,"11/30/2020 12:39:01 AM"," ",587,587,0,672,672,0,26,16,17,0,0,363,331,0,0,20,0,0,0,0,0,0,0,0,0,0,11,3,,11,3,,,6,11,,,6,11,,,,,
