Title,Delivery Date,Total Recipients,Successful Deliveries,Bounces,Times Forwarded,Forwarded Opens,Recipients Who Opened,Total Opens, Last Open Date, Recipients Who Clicked,Total Clicks,Last Click Date,Total Unsubs,Total,Times Liked on Facebook Abuse Complaints
La news qui vous dit enfin tout,  2021/03/30/ 12:15, 1746, 1741, 5, 0, 0, 872, 1681, 2021/03/31 12:16, 152, 207, 2021/03/31 12:13, 9, 0, 0
5 livres pour apprehender la crise climatique, 2021/03/16 12:15, 1680, 1675,5, 0,0,949, 1681 , 2021/03/26 11:05, 68 ,88 ,2021/03/26 11:05, 14, 0, 0 
Semaine de lives + ZW Guide, 2021/03/01 15:30, 771 ,769 ,2 ,0 ,0 ,462 ,852 ,2021/03/26 9:52 ,62 ,82, 2021/03/17 9:51 ,12, 0, 0 
5 documentaires pour s'inspirer, 2021/02/18 11:47 ,762 ,760 ,2 ,0 ,0 ,568 ,1288, 2021/03/26 10:55 ,30 ,50 ,2021/03/24 23:04 ,8 ,1 ,0 
Hello de la team Refyld ðŸ‘, 2021/02/04 11:08, 766 ,761 ,5 ,0 ,0 ,439 ,868 ,2021/03/23 14:13 ,29 ,32 ,2021/02/07 17:23 ,42 ,0 ,0 
